Entity,Code,Year,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2023
American Samoa,ASM,46,,,,,,0.020209,0.020187,0.017465,0.010134,0.002618,0.001114,0.000964,0.00091,0.000945
American Samoa,ASM,47,,,,,,0.017886,0.013331,0.011439,0.005211,0.000696,0.000151,0.00013,0.000123,0.000128
American Samoa,ASM,48,,,,,,0.015319,0.009235,0.0079,0.002714,0.00017,0,0,0,0
American Samoa,ASM,49,,,,,,0.010767,0.00583,0.004931,0.001358,0.000023,0,0,0,0
Americas (UN),,15,,,,,,0.025902,0.025951,0.024641,0.02528,0.026578,0.024427,0.021569,0.013993,0.012458
Americas (UN),,16,,,,,,0.053265,0.053486,0.049541,0.04854,0.051252,0.046674,0.040586,0.026816,0.024281
Americas (UN),,17,,,,,,0.090224,0.091282,0.081356,0.077111,0.080199,0.07238,0.061552,0.041579,0.038571
Americas (UN),,18,,,,,,0.134343,0.139963,0.118511,0.108042,0.110566,0.098825,0.082655,0.057332,0.053782
Americas (UN),,19,,,,,,0.175386,0.192265,0.153316,0.133756,0.132507,0.118669,0.098611,0.070331,0.065577
Americas (UN),,20,,,,,,0.206833,0.232394,0.18136,0.152621,0.145345,0.128281,0.104774,0.078003,0.073336
Americas (UN),,21,,,,,,0.227177,0.259643,0.203109,0.166029,0.154223,0.132359,0.106605,0.082346,0.078392
Americas (UN),,22,,,,,,0.243336,0.276714,0.217469,0.173817,0.158649,0.133433,0.107271,0.08507,0.081319
Americas (UN),,23,,,,,,0.251037,0.284621,0.226285,0.178562,0.159287,0.132345,0.106525,0.086841,0.083636
Americas (UN),,24,,,,,,0.250767,0.284861,0.228764,0.179018,0.157157,0.130541,0.106504,0.088493,0.085608
Americas (UN),,25,,,,,,0.248567,0.279839,0.228109,0.177549,0.155322,0.128301,0.106473,0.089996,0.087267
Americas (UN),,26,,,,,,0.23704,0.267686,0.221182,0.173379,0.151546,0.125829,0.106773,0.090733,0.088618
Americas (UN),,27,,,,,,0.223652,0.253831,0.209578,0.166262,0.145786,0.122306,0.106104,0.091039,0.089736
Americas (UN),,28,,,,,,0.217041,0.241062,0.198611,0.159906,0.14049,0.118386,0.104989,0.091177,0.090473
Americas (UN),,29,,,,,,0.202771,0.226061,0.186088,0.146931,0.129116,0.113646,0.102659,0.090488,0.090025
Americas (UN),,30,,,,,,0.189753,0.212012,0.171004,0.13653,0.12034,0.107052,0.098052,0.088523,0.088157
Americas (UN),,31,,,,,,0.17066,0.19183,0.158708,0.124201,0.110551,0.099811,0.092877,0.085582,0.084753
Americas (UN),,32,,,,,,0.163301,0.179671,0.147302,0.111413,0.099707,0.091417,0.086081,0.081058,0.079898
Americas (UN),,33,,,,,,0.149277,0.164864,0.135842,0.100021,0.089202,0.08238,0.078394,0.075218,0.074424
Americas (UN),,34,,,,,,0.139946,0.151838,0.125337,0.091876,0.07892,0.073164,0.070344,0.069069,0.068456
Americas (UN),,35,,,,,,0.12928,0.13949,0.115609,0.083537,0.069818,0.063863,0.061888,0.062278,0.06174
Americas (UN),,36,,,,,,0.116838,0.124887,0.104924,0.073592,0.061005,0.054965,0.053087,0.054046,0.053976
Americas (UN),,37,,,,,,0.103337,0.10943,0.093875,0.064085,0.051975,0.046216,0.044494,0.045876,0.046272
Americas (UN),,38,,,,,,0.091576,0.096544,0.082496,0.056811,0.044263,0.038251,0.036784,0.037889,0.038755
Americas (UN),,39,,,,,,0.077971,0.081967,0.070298,0.049236,0.035939,0.030672,0.029288,0.030407,0.03122
Americas (UN),,40,,,,,,0.064152,0.066947,0.058044,0.041231,0.029024,0.023865,0.022153,0.022911,0.023397
Americas (UN),,41,,,,,,0.048904,0.051302,0.045999,0.033237,0.022271,0.017663,0.015994,0.016542,0.016951
Americas (UN),,42,,,,,,0.038575,0.039638,0.035103,0.025728,0.016175,0.012388,0.010958,0.011302,0.011558
Americas (UN),,43,,,,,,0.02752,0.028642,0.02544,0.018942,0.011426,0.00837,0.007037,0.007228,0.007381
Americas (UN),,44,,,,,,0.018803,0.019402,0.017427,0.0132,0.007988,0.005383,0.004225,0.004301,0.004419
Americas (UN),,45,,,,,,0.012443,0.012731,0.011745,0.008585,0.005212,0.003279,0.002456,0.002415,0.002478
Americas (UN),,46,,,,,,0.008103,0.008249,0.007661,0.005716,0.003425,0.002156,0.001541,0.001371,0.001357
Americas (UN),,47,,,,,,0.005194,0.005327,0.00499,0.003704,0.002215,0.001371,0.000936,0.000715,0.000677
Americas (UN),,48,,,,,,0.003404,0.003498,0.003251,0.002372,0.001446,0.000798,0.000505,0.000354,0.000306
Americas (UN),,49,,,,,,0.002034,0.002061,0.00195,0.001344,0.000846,0.000407,0.000225,0.000154,0.000107
Andorra,AND,15,,,,,,0.000593,0.000188,0.00085,0.002846,0.003261,0.000921,0.00099,0.000148,0.000254
Andorra,AND,16,,,,,,0.001843,0.001052,0.002928,0.007418,0.007488,0.002728,0.002798,0.000575,0.000843
Andorra,AND,17,,,,,,0.004813,0.004987,0.00902,0.016237,0.012176,0.00678,0.006401,0.002053,0.002462
Andorra,AND,18,,,,,,0.010135,0.012914,0.020035,0.029353,0.017007,0.012963,0.011691,0.004664,0.005171
Andorra,AND,19,,,,,,0.01959,0.026516,0.037288,0.045164,0.021914,0.019576,0.017395,0.00803,0.008567
Andorra,AND,20,,,,,,0.033594,0.045936,0.060743,0.062782,0.027354,0.025928,0.023088,0.012007,0.012529
Andorra,AND,21,,,,,,0.052426,0.070221,0.089495,0.080414,0.036278,0.030272,0.027746,0.015607,0.016246
Andorra,AND,22,,,,,,0.075004,0.097955,0.121856,0.0972,0.048795,0.032884,0.031393,0.018718,0.019597
Andorra,AND,23,,,,,,0.096451,0.12392,0.151709,0.111553,0.063192,0.036392,0.034804,0.021278,0.022346
Andorra,AND,24,,,,,,0.115071,0.146244,0.176734,0.122694,0.078431,0.041663,0.038482,0.023631,0.024808
Andorra,AND,25,,,,,,0.128419,0.162066,0.193089,0.128886,0.091761,0.049728,0.043782,0.027281,0.028531
Andorra,AND,26,,,,,,0.135801,0.170603,0.199692,0.129697,0.10197,0.060702,0.051168,0.032816,0.034135
Andorra,AND,27,,,,,,0.138048,0.172879,0.198209,0.126173,0.107543,0.072537,0.060414,0.040556,0.042082
Andorra,AND,28,,,,,,0.135644,0.16946,0.18956,0.118851,0.108299,0.084267,0.070913,0.050077,0.051953
Andorra,AND,29,,,,,,0.130018,0.161949,0.17635,0.109156,0.105036,0.09356,0.080145,0.059111,0.061366
Andorra,AND,30,,,,,,0.121727,0.150943,0.159521,0.097646,0.098259,0.099866,0.087236,0.066809,0.069405
